Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1148705,-,-,-,42.49,-76.5,-5,225,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI
2012,1,1,0,0,0
2012,1,1,0,30,0
2012,1,1,1,0,0
2012,1,1,1,30,0
2012,1,1,2,0,0
2012,1,1,2,30,0
2012,1,1,3,0,0
2012,1,1,3,30,0
2012,1,1,4,0,0
2012,1,1,4,30,0
2012,1,1,5,0,0
2012,1,1,5,30,0
2012,1,1,6,0,0
2012,1,1,6,30,0
2012,1,1,7,0,0
2012,1,1,7,30,0
2012,1,1,8,0,29
2012,1,1,8,30,43
2012,1,1,9,0,165
2012,1,1,9,30,233
2012,1,1,10,0,293
2012,1,1,10,30,344
2012,1,1,11,0,328
2012,1,1,11,30,407
2012,1,1,12,0,419
2012,1,1,12,30,406
2012,1,1,13,0,117
2012,1,1,13,30,15
2012,1,1,14,0,139
2012,1,1,14,30,82
2012,1,1,15,0,95
2012,1,1,15,30,64
2012,1,1,16,0,34
2012,1,1,16,30,0
2012,1,1,17,0,0
2012,1,1,17,30,0
2012,1,1,18,0,0
2012,1,1,18,30,0
2012,1,1,19,0,0
2012,1,1,19,30,0
2012,1,1,20,0,0
2012,1,1,20,30,0
2012,1,1,21,0,0
2012,1,1,21,30,0
2012,1,1,22,0,0
2012,1,1,22,30,0
2012,1,1,23,0,0
2012,1,1,23,30,0
2012,1,2,0,0,0
2012,1,2,0,30,0
2012,1,2,1,0,0
2012,1,2,1,30,0
2012,1,2,2,0,0
2012,1,2,2,30,0
2012,1,2,3,0,0
2012,1,2,3,30,0
2012,1,2,4,0,0
2012,1,2,4,30,0
2012,1,2,5,0,0
2012,1,2,5,30,0
2012,1,2,6,0,0
2012,1,2,6,30,0
2012,1,2,7,0,0
2012,1,2,7,30,0
2012,1,2,8,0,20
2012,1,2,8,30,64
2012,1,2,9,0,171
2012,1,2,9,30,56
2012,1,2,10,0,108
2012,1,2,10,30,101
2012,1,2,11,0,30
2012,1,2,11,30,37
2012,1,2,12,0,84
2012,1,2,12,30,94
2012,1,2,13,0,17
2012,1,2,13,30,120
2012,1,2,14,0,150
2012,1,2,14,30,172
2012,1,2,15,0,223
2012,1,2,15,30,111
2012,1,2,16,0,61
2012,1,2,16,30,0
2012,1,2,17,0,0
2012,1,2,17,30,0
2012,1,2,18,0,0
2012,1,2,18,30,0
2012,1,2,19,0,0
2012,1,2,19,30,0
2012,1,2,20,0,0
2012,1,2,20,30,0
2012,1,2,21,0,0
2012,1,2,21,30,0
2012,1,2,22,0,0
2012,1,2,22,30,0
2012,1,2,23,0,0
2012,1,2,23,30,0
2012,1,3,0,0,0
2012,1,3,0,30,0
2012,1,3,1,0,0
2012,1,3,1,30,0
2012,1,3,2,0,0
2012,1,3,2,30,0
2012,1,3,3,0,0
2012,1,3,3,30,0
2012,1,3,4,0,0
2012,1,3,4,30,0
2012,1,3,5,0,0
2012,1,3,5,30,0
2012,1,3,6,0,0
2012,1,3,6,30,0
2012,1,3,7,0,0
2012,1,3,7,30,0
2012,1,3,8,0,15
2012,1,3,8,30,49
2012,1,3,9,0,85
2012,1,3,9,30,121
2012,1,3,10,0,153
2012,1,3,10,30,183
2012,1,3,11,0,238
2012,1,3,11,30,304
2012,1,3,12,0,237
2012,1,3,12,30,227
2012,1,3,13,0,47
2012,1,3,13,30,49
2012,1,3,14,0,152
2012,1,3,14,30,225
2012,1,3,15,0,176
2012,1,3,15,30,73
2012,1,3,16,0,41
2012,1,3,16,30,0
2012,1,3,17,0,0
2012,1,3,17,30,0
2012,1,3,18,0,0
2012,1,3,18,30,0
2012,1,3,19,0,0
2012,1,3,19,30,0
2012,1,3,20,0,0
2012,1,3,20,30,0
2012,1,3,21,0,0
2012,1,3,21,30,0
2012,1,3,22,0,0
2012,1,3,22,30,0
2012,1,3,23,0,0
2012,1,3,23,30,0
2012,1,4,0,0,0
2012,1,4,0,30,0
