Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1148705,-,-,-,42.49,-76.5,-5,225,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI
2014,1,1,0,0,0
2014,1,1,0,30,0
2014,1,1,1,0,0
2014,1,1,1,30,0
2014,1,1,2,0,0
2014,1,1,2,30,0
2014,1,1,3,0,0
2014,1,1,3,30,0
2014,1,1,4,0,0
2014,1,1,4,30,0
2014,1,1,5,0,0
2014,1,1,5,30,0
2014,1,1,6,0,0
2014,1,1,6,30,0
2014,1,1,7,0,0
2014,1,1,7,30,0
2014,1,1,8,0,16
2014,1,1,8,30,51
2014,1,1,9,0,90
2014,1,1,9,30,64
2014,1,1,10,0,159
2014,1,1,10,30,226
2014,1,1,11,0,392
2014,1,1,11,30,280
2014,1,1,12,0,331
2014,1,1,12,30,233
2014,1,1,13,0,190
2014,1,1,13,30,189
2014,1,1,14,0,190
2014,1,1,14,30,145
2014,1,1,15,0,126
2014,1,1,15,30,86
2014,1,1,16,0,47
2014,1,1,16,30,0
2014,1,1,17,0,0
2014,1,1,17,30,0
2014,1,1,18,0,0
2014,1,1,18,30,0
2014,1,1,19,0,0
2014,1,1,19,30,0
2014,1,1,20,0,0
2014,1,1,20,30,0
2014,1,1,21,0,0
2014,1,1,21,30,0
2014,1,1,22,0,0
2014,1,1,22,30,0
2014,1,1,23,0,0
2014,1,1,23,30,0
