T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1518075262,6.024228,0,5,0.3,0,0.005674788,2018,01,08,07,34,22,39,07,1518073895,1518110842
1518075263,6.015584,0,5,0.29,0,0.005680803,2018,01,08,07,34,23,39,07,1518073895,1518110842
1518075264,6.051148,0,5,0.3,0,0.005686854,2018,01,08,07,34,24,39,07,1518073895,1518110842
1518075265,6.019198,0,5,0.3,0,0.005692873,2018,01,08,07,34,25,39,07,1518073895,1518110842
1518075266,5.990625,0,5,0.29,0,0.005698864,2018,01,08,07,34,26,39,07,1518073895,1518110842
1518075267,5.992287,0,5,0.29,0,0.005704857,2018,01,08,07,34,27,39,07,1518073895,1518110842
1518075268,5.999555,0,5,0.3,0,0.005710855999999999,2018,01,08,07,34,28,39,07,1518073895,1518110842
1518075269,5.991377,0,5,0.3,0,0.005716847,2018,01,08,07,34,29,39,07,1518073895,1518110842
1518075270,5.967663,0,5,0.3,0,0.005722815,2018,01,08,07,34,30,39,07,1518073895,1518110842
1518075271,5.994184,0,5,0.3,0,0.005728809,2018,01,08,07,34,31,39,07,1518073895,1518110842
1518075272,6.035172,0,5,0.3,0,0.005734844,2018,01,08,07,34,32,39,07,1518073895,1518110842
1518075273,6.00021,0,5,0.3,0,0.005740844,2018,01,08,07,34,33,39,07,1518073895,1518110842
1518075274,5.998039,0,5,0.3,0,0.005746841999999999,2018,01,08,07,34,34,39,07,1518073895,1518110842
1518075275,5.984198,0,5,0.3,0,0.005752826,2018,01,08,07,34,35,39,07,1518073895,1518110842
1518075276,5.960221,0,5,0.3,0,0.005758786,2018,01,08,07,34,36,39,07,1518073895,1518110842
1518075277,6.030468,0,5,0.3,0,0.005764816000000001,2018,01,08,07,34,37,39,07,1518073895,1518110842
1518075278,6.006789,0,5,0.3,0,0.0057708230000000004,2018,01,08,07,34,38,39,07,1518073895,1518110842
1518075279,5.980045,0,5,0.3,0,0.005776803,2018,01,08,07,34,39,39,07,1518073895,1518110842
1518075280,5.935788,0,5,0.3,0,0.005782739,2018,01,08,07,34,40,39,07,1518073895,1518110842
1518075281,6.018943,0,5,0.3,0,0.005788758,2018,01,08,07,34,41,39,07,1518073895,1518110842
1518075282,5.9716629999999995,0,5,0.3,0,0.0057947300000000005,2018,01,08,07,34,42,39,07,1518073895,1518110842
1518075283,6.015391,0,5,0.3,0,0.0058007449999999995,2018,01,08,07,34,43,39,07,1518073895,1518110842
1518075284,5.994609,0,5,0.31,0,0.005806739,2018,01,08,07,34,44,39,07,1518073895,1518110842
1518075285,5.953930000000001,0,5,0.31,0,0.005812693,2018,01,08,07,34,45,39,07,1518073895,1518110842
1518075286,5.948329,0,5,0.3,0,0.005818642,2018,01,08,07,34,46,39,07,1518073895,1518110842
1518075287,5.951238,0,5,0.3,0,0.005824593,2018,01,08,07,34,47,39,07,1518073895,1518110842
1518075288,5.9717910000000005,0,5,0.3,0,0.005830564,2018,01,08,07,34,48,39,07,1518073895,1518110842
1518075289,5.940238,0,5,0.3,0,0.0058365050000000005,2018,01,08,07,34,49,39,07,1518073895,1518110842
