T,L,LL,R,E,D,DLI,Year,Month,Day,Hour,Minute,Second,Day365,Hour24,Sunrise,Sunset
1514562723,0.9974350000000001,0,0,0.08,126,0.000257487,2017,11,29,15,52,03,363,15,1514532761,1514565662
1514562724,0.981174,0,0,0.08,126,0.000258468,2017,11,29,15,52,04,363,15,1514532761,1514565662
1514562725,0.985592,0,0,0.09,126,0.000259454,2017,11,29,15,52,05,363,15,1514532761,1514565662
1514562726,0.974068,0,0,0.09,125,0.000260428,2017,11,29,15,52,06,363,15,1514532761,1514565662
1514562727,0.964319,0,0,0.08,126,0.000261392,2017,11,29,15,52,07,363,15,1514532761,1514565662
1514562728,0.9754790000000001,0,0,0.08,126,0.00026236799999999997,2017,11,29,15,52,08,363,15,1514532761,1514565662
1514562729,1.0048540000000001,0,0,0.09,126,0.000263373,2017,11,29,15,52,09,363,15,1514532761,1514565662
1514562730,0.988461,0,0,0.09,126,0.000264361,2017,11,29,15,52,10,363,15,1514532761,1514565662
1514562731,0.987129,0,0,0.09,126,0.000265348,2017,11,29,15,52,11,363,15,1514532761,1514565662
1514562732,0.9834950000000001,0,0,0.09,126,0.00026633200000000004,2017,11,29,15,52,12,363,15,1514532761,1514565662
1514562733,0.964305,0,0,0.08,126,0.000267296,2017,11,29,15,52,13,363,15,1514532761,1514565662
1514562734,0.9471219999999999,0,0,0.09,126,0.000268243,2017,11,29,15,52,14,363,15,1514532761,1514565662
1514562735,0.99351,0,0,0.08,126,0.00026923699999999997,2017,11,29,15,52,15,363,15,1514532761,1514565662
1514562736,0.984489,0,0,0.1,126,0.000270221,2017,11,29,15,52,16,363,15,1514532761,1514565662
1514562737,1.01593,0,0,0.09,126,0.00027123699999999996,2017,11,29,15,52,17,363,15,1514532761,1514565662
1514562738,1.0092809999999999,0,0,0.08,126,0.000272246,2017,11,29,15,52,18,363,15,1514532761,1514565662
1514562739,0.991116,0,0,0.09,126,0.000273237,2017,11,29,15,52,19,363,15,1514532761,1514565662
1514562740,0.991557,0,0,0.08,126,0.000274229,2017,11,29,15,52,20,363,15,1514532761,1514565662
1514562744,2.218005,0,0,0.09,126,0.000278421,2017,11,29,15,52,24,363,15,1514532761,1514565662
1514562745,1.7163509999999997,0,0,0.08,126,0.00028013699999999996,2017,11,29,15,52,25,363,15,1514532761,1514565662
1514562747,1.279555,0,0,0.09,126,0.000282869,2017,11,29,15,52,27,363,15,1514532761,1514565662
1514562746,1.452212,0,0,0.08,126,0.000281589,2017,11,29,15,52,26,363,15,1514532761,1514565662
1514562748,1.1504459999999999,0,0,0.1,126,0.000284019,2017,11,29,15,52,28,363,15,1514532761,1514565662
1514562749,1.0843200000000002,0,0,0.09,126,0.00028510300000000004,2017,11,29,15,52,29,363,15,1514532761,1514565662
1514562750,1.04748,0,0,0.08,126,0.000286151,2017,11,29,15,52,30,363,15,1514532761,1514565662
1514562751,1.025375,0,0,0.09,126,0.00028717600000000004,2017,11,29,15,52,31,363,15,1514532761,1514565662
1514562754,0.9896290000000001,0,0,0.09,126,0.00029017800000000004,2017,11,29,15,52,34,363,15,1514532761,1514565662
1514562752,1.000773,0,0,0.07,126,0.000288177,2017,11,29,15,52,32,363,15,1514532761,1514565662
1514562757,0.95095,0,0,0.08,126,0.00029305,2017,11,29,15,52,37,363,15,1514532761,1514565662
1514562753,1.011526,0,0,0.07,126,0.00028918899999999997,2017,11,29,15,52,33,363,15,1514532761,1514565662
1514562755,0.9594809999999999,0,0,0.08,126,0.00029113800000000003,2017,11,29,15,52,35,363,15,1514532761,1514565662
1514562756,0.9612370000000001,0,0,0.09,126,0.000292099,2017,11,29,15,52,36,363,15,1514532761,1514565662
1514562758,0.939109,0,0,0.09,126,0.000293989,2017,11,29,15,52,38,363,15,1514532761,1514565662
1514562759,0.9855729999999999,0,0,0.07,126,0.000295946,2017,11,29,15,52,39,363,15,1514532761,1514565662
1514562760,0.976892,0,0,0.09,126,0.000296923,2017,11,29,15,52,40,363,15,1514532761,1514565662
1514562761,0.988692,0,0,0.08,126,0.000297912,2017,11,29,15,52,41,363,15,1514532761,1514565662
1514562762,0.9929379999999999,0,0,0.09,126,0.000298905,2017,11,29,15,52,42,363,15,1514532761,1514565662
1514562763,0.9954850000000001,0,0,0.09,126,0.0002999,2017,11,29,15,52,43,363,15,1514532761,1514565662
1514562764,1.022528,0,0,0.08,126,0.000300923,2017,11,29,15,52,44,363,15,1514532761,1514565662
1514562765,1.030249,0,0,0.09,126,0.00030195300000000004,2017,11,29,15,52,45,363,15,1514532761,1514565662
1514562766,1.023542,0,0,0.08,126,0.000302977,2017,11,29,15,52,46,363,15,1514532761,1514565662
1514562767,1.028022,0,0,0.08,126,0.00030400500000000004,2017,11,29,15,52,47,363,15,1514532761,1514565662
1514562768,1.039215,0,0,0.09,126,0.00030504400000000003,2017,11,29,15,52,48,363,15,1514532761,1514565662
1514562769,1.043096,0,0,0.08,126,0.00030608699999999997,2017,11,29,15,52,49,363,15,1514532761,1514565662
1514562770,1.01991,0,0,0.08,126,0.00030710700000000004,2017,11,29,15,52,50,363,15,1514532761,1514565662
1514562771,0.9918239999999999,0,0,0.08,126,0.000308099,2017,11,29,15,52,51,363,15,1514532761,1514565662
1514562772,0.977808,0,0,0.08,126,0.000309077,2017,11,29,15,52,52,363,15,1514532761,1514565662
1514562773,0.9835719999999999,0,0,0.08,126,0.00031005999999999997,2017,11,29,15,52,53,363,15,1514532761,1514565662
1514562774,0.978526,0,0,0.09,126,0.000311039,2017,11,29,15,52,54,363,15,1514532761,1514565662
1514562775,0.9840030000000001,0,0,0.08,126,0.000312023,2017,11,29,15,52,55,363,15,1514532761,1514565662
1514562776,0.978785,0,0,0.09,126,0.00031300100000000003,2017,11,29,15,52,56,363,15,1514532761,1514565662
1514562777,0.9643139999999999,0,0,0.08,126,0.000313966,2017,11,29,15,52,57,363,15,1514532761,1514565662
1514562778,0.938622,0,0,0.08,126,0.000314904,2017,11,29,15,52,58,363,15,1514532761,1514565662
1514562779,0.9628959999999999,0,0,0.08,126,0.000315867,2017,11,29,15,52,59,363,15,1514532761,1514565662
1514562780,0.9321010000000001,0,0,0.08,126,0.000316799,2017,11,29,15,53,00,363,15,1514532761,1514565662
1514562781,0.9674879999999999,0,0,0.08,126,0.000317767,2017,11,29,15,53,01,363,15,1514532761,1514565662
1514562782,0.966041,0,0,0.09,126,0.00031873299999999997,2017,11,29,15,53,02,363,15,1514532761,1514565662
1514562783,0.982182,0,0,0.08,126,0.000319715,2017,11,29,15,53,03,363,15,1514532761,1514565662
1514562784,0.989032,0,0,0.09,126,0.000320704,2017,11,29,15,53,04,363,15,1514532761,1514565662
1514562785,1.010151,0,0,0.09,126,0.00032171399999999996,2017,11,29,15,53,05,363,15,1514532761,1514565662
1514562786,0.9888040000000001,0,0,0.09,126,0.00032270300000000003,2017,11,29,15,53,06,363,15,1514532761,1514565662
1514562787,0.9618209999999999,0,0,0.08,126,0.000323665,2017,11,29,15,53,07,363,15,1514532761,1514565662
1514562788,0.97965,0,0,0.09,126,0.000324645,2017,11,29,15,53,08,363,15,1514532761,1514565662
1514562789,0.979008,0,0,0.1,126,0.000325624,2017,11,29,15,53,09,363,15,1514532761,1514565662
1514562790,0.9729530000000001,0,0,0.09,126,0.000326597,2017,11,29,15,53,10,363,15,1514532761,1514565662
1514562791,0.991999,0,0,0.09,126,0.000327589,2017,11,29,15,53,11,363,15,1514532761,1514565662
1514562792,1.0204360000000001,0,0,0.08,126,0.000328609,2017,11,29,15,53,12,363,15,1514532761,1514565662
1514562793,0.9978100000000001,0,0,0.09,126,0.000329607,2017,11,29,15,53,13,363,15,1514532761,1514565662
1514562794,1.0097479999999999,0,0,0.09,126,0.000330617,2017,11,29,15,53,14,363,15,1514532761,1514565662
1514562795,1.011241,0,0,0.09,126,0.00033162800000000004,2017,11,29,15,53,15,363,15,1514532761,1514565662
1514562796,1.020642,0,0,0.09,126,0.000332648,2017,11,29,15,53,16,363,15,1514532761,1514565662
1514562797,1.037622,0,0,0.08,126,0.00033368600000000003,2017,11,29,15,53,17,363,15,1514532761,1514565662
1514562798,1.002451,0,0,0.08,126,0.000334689,2017,11,29,15,53,18,363,15,1514532761,1514565662
1514562799,1.018203,0,0,0.09,126,0.00033570700000000003,2017,11,29,15,53,19,363,15,1514532761,1514565662
1514562800,0.993635,0,0,0.09,126,0.0003367,2017,11,29,15,53,20,363,15,1514532761,1514565662
1514562801,0.973224,0,0,0.07,126,0.000337674,2017,11,29,15,53,21,363,15,1514532761,1514565662
1514562802,0.9893270000000001,0,0,0.09,126,0.000338663,2017,11,29,15,53,22,363,15,1514532761,1514565662
1514562803,1.0131629999999998,0,0,0.08,126,0.000339676,2017,11,29,15,53,23,363,15,1514532761,1514565662
1514562804,0.9792709999999999,0,0,0.09,126,0.00034065500000000004,2017,11,29,15,53,24,363,15,1514532761,1514565662
1514562805,0.981615,0,0,0.08,126,0.000341637,2017,11,29,15,53,25,363,15,1514532761,1514565662
1514562806,0.991527,0,0,0.09,126,0.000342629,2017,11,29,15,53,26,363,15,1514532761,1514565662
1514562807,0.971959,0,0,0.09,126,0.0003436,2017,11,29,15,53,27,363,15,1514532761,1514565662
1514562808,0.960219,0,0,0.09,126,0.000344561,2017,11,29,15,53,28,363,15,1514532761,1514565662
1514562809,0.9758540000000001,0,0,0.08,126,0.000345537,2017,11,29,15,53,29,363,15,1514532761,1514565662
1514562810,0.9483809999999999,0,0,0.09,126,0.000346485,2017,11,29,15,53,30,363,15,1514532761,1514565662
1514562811,0.9460719999999999,0,0,0.09,126,0.000347431,2017,11,29,15,53,31,363,15,1514532761,1514565662
1514562812,0.973035,0,0,0.09,126,0.000348404,2017,11,29,15,53,32,363,15,1514532761,1514565662
1514562813,0.9863790000000001,0,0,0.09,126,0.00034939,2017,11,29,15,53,33,363,15,1514532761,1514565662
1514562814,0.9943850000000001,0,0,0.09,126,0.000350385,2017,11,29,15,53,34,363,15,1514532761,1514565662
1514562815,0.990683,0,0,0.08,126,0.000351375,2017,11,29,15,53,35,363,15,1514532761,1514565662
1514562816,0.9884629999999999,0,0,0.09,126,0.000352364,2017,11,29,15,53,36,363,15,1514532761,1514565662
1514562817,1.01548,0,0,0.08,126,0.000353379,2017,11,29,15,53,37,363,15,1514532761,1514565662
1514562818,1.017515,0,0,0.09,126,0.000354397,2017,11,29,15,53,38,363,15,1514532761,1514565662
1514562819,1.027241,0,0,0.08,126,0.00035542399999999996,2017,11,29,15,53,39,363,15,1514532761,1514565662
1514562820,1.0217370000000001,0,0,0.06,126,0.000356446,2017,11,29,15,53,40,363,15,1514532761,1514565662
1514562821,1.018435,0,0,0.08,126,0.000357464,2017,11,29,15,53,41,363,15,1514532761,1514565662
1514562822,0.9852690000000001,0,0,0.09,126,0.00035845,2017,11,29,15,53,42,363,15,1514532761,1514565662
1514562823,0.973875,0,0,0.08,126,0.00035942399999999995,2017,11,29,15,53,43,363,15,1514532761,1514565662
1514562824,0.964203,0,0,0.12,126,0.000360388,2017,11,29,15,53,44,363,15,1514532761,1514565662
1514562825,0.9697389999999999,0,0,0.09,126,0.00036135700000000003,2017,11,29,15,53,45,363,15,1514532761,1514565662
1514562826,0.964557,0,0,0.09,126,0.000362322,2017,11,29,15,53,46,363,15,1514532761,1514565662
1514562827,0.995466,0,0,0.1,126,0.000363318,2017,11,29,15,53,47,363,15,1514532761,1514565662
1514562828,0.988497,0,0,0.09,126,0.000364306,2017,11,29,15,53,48,363,15,1514532761,1514565662
1514562829,1.012665,0,0,0.09,126,0.000365319,2017,11,29,15,53,49,363,15,1514532761,1514565662
1514562830,0.984642,0,0,0.1,126,0.000366303,2017,11,29,15,53,50,363,15,1514532761,1514565662
1514562831,0.967829,0,0,0.09,126,0.000367271,2017,11,29,15,53,51,363,15,1514532761,1514565662
1514562832,0.971915,0,0,0.09,126,0.000368243,2017,11,29,15,53,52,363,15,1514532761,1514565662
1514562833,0.977202,0,0,0.09,126,0.00036921999999999996,2017,11,29,15,53,53,363,15,1514532761,1514565662
1514562834,0.9633639999999999,0,0,0.09,126,0.000370184,2017,11,29,15,53,54,363,15,1514532761,1514565662
1514562835,0.952227,0,0,0.08,126,0.000371136,2017,11,29,15,53,55,363,15,1514532761,1514565662
1514562836,0.979563,0,0,0.09,126,0.000372115,2017,11,29,15,53,56,363,15,1514532761,1514565662
1514562837,0.947772,0,0,0.08,126,0.00037306300000000003,2017,11,29,15,53,57,363,15,1514532761,1514565662
1514562838,0.9315319999999999,0,0,0.09,126,0.00037399499999999996,2017,11,29,15,53,58,363,15,1514532761,1514565662
1514562839,0.958642,0,0,0.09,126,0.000374953,2017,11,29,15,53,59,363,15,1514532761,1514565662
1514562840,0.9692379999999999,0,0,0.1,126,0.000375923,2017,11,29,15,54,00,363,15,1514532761,1514565662
1514562841,0.950081,0,0,0.08,126,0.000376873,2017,11,29,15,54,01,363,15,1514532761,1514565662
1514562842,0.941422,0,0,0.08,126,0.00037781399999999997,2017,11,29,15,54,02,363,15,1514532761,1514565662
1514562843,0.964576,0,0,0.09,126,0.000378779,2017,11,29,15,54,03,363,15,1514532761,1514565662
1514562844,0.975633,0,0,0.09,126,0.000379754,2017,11,29,15,54,04,363,15,1514532761,1514565662
1514562845,0.9737629999999999,0,0,0.1,126,0.00038072800000000005,2017,11,29,15,54,05,363,15,1514532761,1514565662
1514562846,0.9924850000000001,0,0,0.09,126,0.000381721,2017,11,29,15,54,06,363,15,1514532761,1514565662
1514562847,0.9640290000000001,0,0,0.09,126,0.000382685,2017,11,29,15,54,07,363,15,1514532761,1514565662
1514562848,0.9894799999999999,0,0,0.09,126,0.00038367399999999997,2017,11,29,15,54,08,363,15,1514532761,1514565662
1514562849,1.007585,0,0,0.09,126,0.000384682,2017,11,29,15,54,09,363,15,1514532761,1514565662
1514562850,1.021283,0,0,0.1,126,0.00038570300000000004,2017,11,29,15,54,10,363,15,1514532761,1514565662
1514562851,0.9898129999999999,0,0,0.07,126,0.00038669299999999997,2017,11,29,15,54,11,363,15,1514532761,1514565662
1514562852,0.9510870000000001,0,0,0.09,126,0.00038764400000000003,2017,11,29,15,54,12,363,15,1514532761,1514565662
1514562853,0.984549,0,0,0.08,126,0.000388628,2017,11,29,15,54,13,363,15,1514532761,1514565662
1514562854,0.9762770000000001,0,0,0.08,126,0.000389605,2017,11,29,15,54,14,363,15,1514532761,1514565662
