Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,1148705,-,-,-,42.49,-76.5,-5,225,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,GHI
1999,1,1,0,0,0
1999,1,1,0,30,0
1999,1,1,1,0,0
1999,1,1,1,30,0
1999,1,1,2,0,0
1999,1,1,2,30,0
1999,1,1,3,0,0
1999,1,1,3,30,0
1999,1,1,4,0,0
1999,1,1,4,30,0
1999,1,1,5,0,0
1999,1,1,5,30,0
1999,1,1,6,0,0
1999,1,1,6,30,0
1999,1,1,7,0,0
1999,1,1,7,30,0
1999,1,1,8,0,31
1999,1,1,8,30,101
1999,1,1,9,0,70
1999,1,1,9,30,13
1999,1,1,10,0,60
1999,1,1,10,30,165
1999,1,1,11,0,138
1999,1,1,11,30,237
1999,1,1,12,0,173
1999,1,1,12,30,292
1999,1,1,13,0,143
1999,1,1,13,30,173
1999,1,1,14,0,355
1999,1,1,14,30,298
1999,1,1,15,0,232
1999,1,1,15,30,159
1999,1,1,16,0,88
1999,1,1,16,30,0
1999,1,1,17,0,0
1999,1,1,17,30,0
1999,1,1,18,0,0
1999,1,1,18,30,0
1999,1,1,19,0,0
1999,1,1,19,30,0
1999,1,1,20,0,0
1999,1,1,20,30,0
1999,1,1,21,0,0
1999,1,1,21,30,0
1999,1,1,22,0,0
1999,1,1,22,30,0
1999,1,1,23,0,0
1999,1,1,23,30,0
1999,1,2,0,0,0
1999,1,2,0,30,0
1999,1,2,1,0,0
1999,1,2,1,30,0
1999,1,2,2,0,0
1999,1,2,2,30,0
1999,1,2,3,0,0
1999,1,2,3,30,0
1999,1,2,4,0,0
1999,1,2,4,30,0
1999,1,2,5,0,0
1999,1,2,5,30,0
1999,1,2,6,0,0
1999,1,2,6,30,0
1999,1,2,7,0,0
1999,1,2,7,30,0
1999,1,2,8,0,9
1999,1,2,8,30,30
1999,1,2,9,0,70
1999,1,2,9,30,119
1999,1,2,10,0,143
1999,1,2,10,30,175
1999,1,2,11,0,258
1999,1,2,11,30,410
1999,1,2,12,0,422
1999,1,2,12,30,205
1999,1,2,13,0,241
1999,1,2,13,30,192
1999,1,2,14,0,160
1999,1,2,14,30,71
1999,1,2,15,0,115
1999,1,2,15,30,92
1999,1,2,16,0,50
1999,1,2,16,30,0
1999,1,2,17,0,0
1999,1,2,17,30,0
1999,1,2,18,0,0
1999,1,2,18,30,0
1999,1,2,19,0,0
1999,1,2,19,30,0
1999,1,2,20,0,0
1999,1,2,20,30,0
1999,1,2,21,0,0
1999,1,2,21,30,0
1999,1,2,22,0,0
1999,1,2,22,30,0
1999,1,2,23,0,0
1999,1,2,23,30,0
1999,1,3,0,0,0
1999,1,3,0,30,0
1999,1,3,1,0,0
1999,1,3,1,30,0
1999,1,3,2,0,0
1999,1,3,2,30,0
1999,1,3,3,0,0
1999,1,3,3,30,0
1999,1,3,4,0,0
1999,1,3,4,30,0
1999,1,3,5,0,0
1999,1,3,5,30,0
1999,1,3,6,0,0
1999,1,3,6,30,0
1999,1,3,7,0,0
1999,1,3,7,30,0
1999,1,3,8,0,8
1999,1,3,8,30,28
1999,1,3,9,0,99
1999,1,3,9,30,222
1999,1,3,10,0,62
1999,1,3,10,30,76
1999,1,3,11,0,104
1999,1,3,11,30,91
1999,1,3,12,0,102
1999,1,3,12,30,171
1999,1,3,13,0,60
1999,1,3,13,30,172
1999,1,3,14,0,337
1999,1,3,14,30,285
1999,1,3,15,0,223
1999,1,3,15,30,6
1999,1,3,16,0,86
1999,1,3,16,30,0
1999,1,3,17,0,0
1999,1,3,17,30,0
1999,1,3,18,0,0
1999,1,3,18,30,0
1999,1,3,19,0,0
1999,1,3,19,30,0
1999,1,3,20,0,0
1999,1,3,20,30,0
1999,1,3,21,0,0
1999,1,3,21,30,0
1999,1,3,22,0,0
1999,1,3,22,30,0
1999,1,3,23,0,0
1999,1,3,23,30,0
1999,1,4,0,0,0
1999,1,4,0,30,0
1999,1,4,1,0,0
1999,1,4,1,30,0
1999,1,4,2,0,0
1999,1,4,2,30,0
1999,1,4,3,0,0
1999,1,4,3,30,0
1999,1,4,4,0,0
1999,1,4,4,30,0
1999,1,4,5,0,0
1999,1,4,5,30,0
1999,1,4,6,0,0
1999,1,4,6,30,0
1999,1,4,7,0,0
